config_name,csid,capacity_kw,ports
P0,900000,100,1
P0,900002,100,2
P0,900006,100,1
P0,900012,50,1
P100,900000,100,1
P100,900002,100,2
P100,900006,100,1
P100,900008,50,1
P100,900010,50,2
P100,900012,100,1
P100,900014,50,1
P20_2,900000,100,2
P20_2,900002,100,1
P20_2,900004,100,1
P20_2,900006,100,1
P20_2,900014,100,1
P40_2,900000,100,1
P40_2,900002,100,1
P40_2,900004,100,1
P40_2,900006,100,1
P40_2,900008,50,1
P60_2,900000,100,1
P60_2,900002,100,1
P60_2,900004,100,1
P60_2,900006,50,1
P60_2,900012,100,1
P60_2,900014,100,1
P80_2,900000,100,1
P80_2,900002,100,1
P80_2,900004,100,1
P80_2,900006,100,1
P80_2,900012,100,2
P80_2,900014,100,1
