config_name,csid,capacity_kw,ports
P0,900000,100,1
P0,900002,100,2
P0,900006,100,1
P0,900012,50,1
P100,900000,100,1
P100,900002,100,2
P100,900006,100,1
P100,900008,50,1
P100,900010,50,2
P100,900012,100,1
P100,900014,50,1
P20,900000,100,2
P20,900002,100,1
P20,900004,100,1
P20,900008,50,1
P20,9000010,50,1
P20,9000012,50,1
P20,9000014,50,1
P40,900000,100,1
P40,900002,100,1
P40,900004,50,2
P40,900006,100,1
P40,9000010,100,1
P40,9000012,50,2
P60,900000,100,2
P60,900002,100,2
P60,900004,50,1
P60,900006,100,2
P60,900008,50,1
P60,9000014,100,1
P80,900000,100,1
P80,900002,100,1
P80,900004,100,1
P80,900006,100,1
P80,900008,50,1
P80,9000012,50,1
