出発地,道路距離(km),所要時間(分)
兵庫県姫路市,18.01,25
兵庫県明石市,21.74,28
兵庫県神戸市西区,22.08,29
兵庫県加西市,22.45,28
兵庫県たつの市,41.14,37
兵庫県神戸市垂水区,27.97,36
兵庫県加古郡播磨町,7.0,11
兵庫県加古郡稲美町,8.58,12
兵庫県揖保郡太子町,29.6,39
兵庫県神戸市須磨区,33.7,42
兵庫県小野市,18.9,22
兵庫県三木市,16.76,21
兵庫県西宮市,56.17,68
兵庫県神戸市北区,36.51,47
兵庫県赤穂市,61.13,66
兵庫県神戸市中央区,41.13,52
兵庫県神戸市兵庫区,38.25,49
兵庫県相生市,51.28,51
兵庫県尼崎市,64.06,76
兵庫県神戸市東灘区,48.84,60
兵庫県神戸市灘区,46.45,58
兵庫県神戸市長田区,35.29,45
岡山県倉敷市,130.21,122
兵庫県加東市,25.92,31
兵庫県神崎郡福崎町,29.38,36
兵庫県神崎郡市川町,34.6,43
兵庫県宍粟市,49.3,58
岡山県岡山市北区,116.79,113
岡山県岡山市南区,123.49,122
兵庫県西脇市,33.03,39
岡山県岡山市中区,116.91,113
広島県福山市,169.58,144
兵庫県宝塚市,62.34,64
大阪府東大阪市,93.11,83
兵庫県伊丹市,66.78,69
岡山県岡山市東区,102.37,118
兵庫県赤穂郡上郡町,60.31,64
兵庫県芦屋市,52.64,64
兵庫県佐用郡佐用町,74.35,79
兵庫県三田市,51.67,51
大阪府枚方市,96.39,83
兵庫県神崎郡神河町,43.97,52
大阪府吹田市,86.64,78
大阪府豊中市,81.03,71
兵庫県朝来市,77.54,95
兵庫県多可郡多可町,39.6,42
大阪府八尾市,100.9,90
兵庫県淡路市,59.21,70
大阪府茨木市,81.55,72
大阪府大阪市淀川区,88.59,78
鳥取県鳥取市,142.94,136
大阪府高槻市,85.08,73
大阪府大阪市此花区,70.19,82
岡山県津山市,105.2,114
岡山県備前市,81.86,89
大阪府和泉市,93.19,101
兵庫県豊岡市,108.7,122
大阪府大阪市東淀川区,89.2,81
和歌山県和歌山市,136.21,134
大阪府岸和田市,96.16,104
大阪府大阪市西淀川区,67.59,80
大阪府泉佐野市,105.61,110
兵庫県丹波市,61.5,69
兵庫県川西市,67.9,71
大阪府大阪市住之江区,78.28,89
大阪府大阪市西成区,77.8,90
兵庫県洲本市,71.03,82
大阪府堺市西区,86.62,96
岡山県真庭市,137.05,145
岡山県瀬戸内市,96.48,111
大阪府大阪市北区,89.28,84
大阪府門真市,86.37,78
大阪府堺市堺区,82.13,91
島根県出雲市,314.93,244
香川県高松市,172.26,165
大阪府大東市,92.9,85
