地名,緯度,経度
兵庫県加古川市,34.756924,134.841293
兵庫県高砂市,34.766361,134.790573
兵庫県姫路市,34.815277,134.685562
兵庫県明石市,34.643131,134.997604
兵庫県神戸市西区,34.720913,135.019333
兵庫県加西市,34.927864,134.841797
兵庫県たつの市,34.857857,134.545334
兵庫県神戸市垂水区,34.630554,135.056946
兵庫県加古郡稲美町,34.74839,134.912949
兵庫県加古郡播磨町,34.715279,134.868057
兵庫県揖保郡太子町,34.833244,134.572311
兵庫県三木市,34.796852,134.990219
兵庫県小野市,34.85788,134.93988
兵庫県神戸市須磨区,34.658642,135.133667
兵庫県赤穂市,34.755001,134.390274
兵庫県西宮市,34.73774,135.341843
兵庫県神戸市北区,34.724174,135.14621
兵庫県尼崎市,34.733334,135.406387
兵庫県神戸市兵庫区,34.680237,135.165817
兵庫県神戸市東灘区,34.720211,135.265671
兵庫県神戸市中央区,34.689701,135.194855
兵庫県宍粟市,35.004444,134.549438
兵庫県神崎郡福崎町,34.95031,134.760239
兵庫県相生市,34.803612,134.468063
兵庫県加東市,34.918652,134.973389
岡山県倉敷市,34.584999,133.771942
岡山県岡山市北区,34.655186,133.919754
兵庫県神戸市長田区,34.665688,135.15094
兵庫県神戸市灘区,34.712418,135.239456
兵庫県西脇市,34.983398,134.979767
岡山県岡山市南区,34.599743,133.919571
岡山県岡山市東区,34.651375,134.029465
岡山県岡山市中区,34.670502,133.943024
兵庫県赤穂郡上郡町,34.873611,134.35611
兵庫県豊岡市,35.544601,134.82016
兵庫県朝来市,35.339867,134.852722
兵庫県神崎郡市川町,34.989262,134.763229
兵庫県神崎郡神河町,35.064217,134.739838
兵庫県宝塚市,34.799999,135.360275
兵庫県淡路市,34.439732,134.914963
大阪府東大阪市,34.679443,135.60083
鳥取県鳥取市,35.494453,134.222153
広島県福山市,34.485832,133.362503
兵庫県洲本市,34.34285,134.895447
岡山県備前市,34.745182,134.188797
兵庫県伊丹市,34.784462,135.400375
兵庫県佐用郡佐用町,35.004276,134.355896
兵庫県三田市,34.890015,135.22551
大阪府吹田市,34.75946,135.516876
兵庫県芦屋市,34.726952,135.304123
兵庫県多可郡多可町,35.050217,134.923355
岡山県津山市,35.069126,134.004532
兵庫県川西市,34.830002,135.417221
大阪府豊中市,34.781288,135.469757
